Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Computer Science,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-computer-science/dom/
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,80.0,SACE Stage 2 Mathematical Methods (or equivalent).,None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-computer-science-honours-artificial-intelligence-and-machine-learning/dom/
Bachelor of Computer Science (Honours) majoring in Human-Centred Computing,80.0,SACE Stage 2 Mathematical Methods (or equivalent).,None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-computer-science-honours-human-centred-computing/dom/
Bachelor of Computer Science majoring in Artificial Intelligence and Machine Learning,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-computer-science-artificial-intelligence-and-machine-learning/dom/
Bachelor of Computer Science majoring in Human-Centred Computing,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-computer-science-human-centred-computing/dom/
Bachelor of Computer Science majoring in Programming Languages,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-computer-science-programming-languages/dom/
Bachelor of Cyber Security,80.0,None,None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-cyber-security/dom/
"Bachelor of Cyber Security majoring in Governance, Risk and Compliance",80.0,None,None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-cyber-security-governance-risk-and-compliance/dom/
Bachelor of Cyber Security majoring in Technology,80.0,None,None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-cyber-security-technology/dom/
Bachelor of Data Analytics,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-data-analytics/dom/
Bachelor of Engineering (Civil) (Honours),80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-civil-honours/dom/
Bachelor of Engineering (Civil) (Honours) majoring in Mining Engineering,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-civil-honours-mining-engineering/dom/
Bachelor of Engineering (Electrical and Electronic) (Honours),80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-electrical-and-electronic-honours/dom/
Bachelor of Engineering (Electrical and Electronic) (Honours) majoring in Mechatronics and Robotics,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-electrical-and-electronic-honours-mechatronics-and-robotics/dom/
Bachelor of Engineering (Mechanical) (Honours),80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-mechanical-honours/dom/
Bachelor of Engineering (Mechanical) (Honours) majoring in Mechatronics and Robotics,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-mechanical-honours-mechatronics-and-robotics/dom/
Bachelor of Engineering (Mechanical) (Honours) majoring in Mining Engineering,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-mechanical-honours-mining-engineering/dom/
Bachelor of Information Technology,70.0,None,None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-information-technology/dom/
Bachelor of Information Technology,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-information-technology/dom/
Bachelor of Information Technology majoring in Data Analytics,70.0,None,None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-information-technology-data-analytics/dom/
